id,title,author,publisher,publication_year,category,isbn,quantity
1,2001,Arthur C. Clarke,Roc,1968    ,Information Technology,978-0451457998,2
2,The Hunger Games,Suzanne Collins,Scholastic Press,2008    ,Information Technology,978-0439023481,10
3,Autobiography of a Yogi,Yogananda Paramahansa,Self-Realization Fellowship,1946    ,Information Technology,978-0876120798,4
4,Principles of Anatomy and Physiology,Gerard J. Tortora,Wiley,1975    ,Information Technology,978-1119282921,10
5,NASA/DoD aerospace knowledge diffusion research project,Thomas E. Pinelli,NASA,1990    ,Information Technology,978-1249392231,5
6,Catching Fire,Suzanne Collins,Scholastic Press,2009    ,Information Technology,978-0439023498,17
7,Идіотъ,Фёдор Михайлович Достоевский,Penguin Classics,1880    ,Information Technology,978-0140447927,18
8,Der Proceß,Franz Kafka,Schocken,1825    ,Information Technology,978-0805209990,1
9,Of Mice and Men,John Steinbeck,Penguin Books,1937    ,Information Technology,978-0140177398,8
10,The Lost World,Arthur Conan Doyle,Modern Library,1900    ,Information Technology,978-0375759369,10
11,The Grapes of Wrath,John Steinbeck,Viking Press,1939    ,Information Technology,978-0670014811,12
12,The Thirty-Nine Steps,John Buchan,Oxford University Press,1915    ,Information Technology,978-0199537877,3
13,The Taming of the Shrew,William Shakespeare,Simon & Schuster,1631    ,Information Technology,978-0743477574,2
14,Анна Каренина,Лев Толстой,Penguin Classics,1876    ,Information Technology,978-0143035008,11
15,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,HarperCollins,1892    ,Information Technology,978-0062073600,8
16,Tax administration,United States. General Accounting Office,GAO,1986    ,Information Technology,978-1243542571,11
17,King Lear,William Shakespeare,Yale University Press,1608    ,Information Technology,978-0300101904,4
18,A Midsummer Night's Dream,William Shakespeare,Simon & Schuster,1600    ,Information Technology,978-0743477543,18
19,Julius Caesar,William Shakespeare,Penguin Classics,1656    ,Information Technology,978-0143108573,9
20,Bible,Bible,Zondervan,1200    ,Information Technology,978-0310435587,3
21,Les Robots,Isaac Asimov,Spectra,1950    ,Information Technology,978-0553294385,12
22,Management information systems,Kenneth C. Laudon,Pearson,1945    ,Information Technology,978-0135191798,9
23,Financial Management,United States. General Accounting Office,GAO,1987    ,Information Technology,978-1243542588,1
24,Mockingjay,Suzanne Collins,Scholastic Press,2010    ,Information Technology,978-0439023511,12
25,Der Vorleser,Bernhard Schlink,Vintage,1995    ,Information Technology,978-0375707971,3
26,Richard III,William Shakespeare,Cambridge University Press,1597    ,Information Technology,978-1107526976,20
27,Managerial Accounting,Jerry J. Weygandt,Wiley,1999    ,Information Technology,978-1119391081,14
28,Essential Maths,Sean McArdle,Elmwood Education,1996    ,Information Technology,978-1902214733,8
29,The Comedy of Errors,William Shakespeare,Simon & Schuster,1734    ,Information Technology,978-0743477437,9
30,"Advances in Computers, Volume 49 (Advances in Computers)",Marvin V. Zelkowitz,Academic Press,1995    ,Information Technology,978-0120121496,1
31,Prey,Michael Crichton,HarperCollins,2002    ,Information Technology,978-0061703089,1
32,Neuromancer,William Gibson,Ace,1984    ,Information Technology,978-0441569595,14
33,Artemis Fowl and the Eternity Code,Eoin Colfer,Disney-Hyperion,2003    ,Information Technology,978-1423124535,16
34,Reconfigurable Processor Array A Bit Sliced Parallel Computer (USA),A. Rushton,IET,1986    ,Information Technology,978-0863412585,16
35,Cell,Stephen King,Scribner,2006    ,Information Technology,978-1501143786,19
36,Software Engineering,Roger S. Pressman,McGraw-Hill Education,1982    ,Information Technology,978-0078022128,16
37,Вишневый сад,Антон Павлович Чехов,Dover Publications,1918    ,Information Technology,978-0486266824,5
38,Steve Jobs,Walter Isaacson,Simon & Schuster,2011    ,Information Technology,978-1451648539,20
39,Rosencrantz & Guildenstern are dead,Tom Stoppard,Grove Press,1967    ,Information Technology,978-0802132758,8
40,Śmierć Miasta,Władysław Szpilman,Picador,1946    ,Information Technology,978-0312311766,7
41,Baby Einstein,Julie Aigner-Clark,Disney Press,2001    ,Information Technology,978-0786851621,9
42,The C Programming Language,Brian W. Kernighan,Prentice Hall,1978    ,Information Technology,978-0131103627,8
43,4th of July,James Patterson,"Little, Brown and Co",1947    ,Information Technology,978-0316710602,16
44,Stellaluna,Janell Cannon,HMH Books,1990    ,Information Technology,978-0152802172,18
45,Step on a Crack,James Patterson,"Little, Brown and Co",1658    ,Information Technology,978-0316013949,9
46,Transactions on Engineering Technologies,Sio-Iong Ao,Springer,2013    ,Information Technology,978-9400761919,7
47,Player Piano,Kurt Vonnegut,Dial Press,1952    ,Information Technology,978-0385333788,20
48,The Miracle Worker,William Gibson,Scribner,1956    ,Information Technology,978-1416590842,16
49,SQL for Dummies,Allen G. Taylor,For Dummies,1993    ,Information Technology,978-1119527077,20
50,Snow Crash,Neal Stephenson,Spectra,1992    ,Information Technology,978-0553380958,20
51,Troilus and Cressida,William Shakespeare,Oxford University Press,1609    ,Information Technology,978-0199536511,8
52,Ready Player One,Ernest Cline,Broadway Books,2008    ,Information Technology,978-0307887443,3
53,Hacking for Dummies,Kevin Beaver,For Dummies,2004    ,Information Technology,978-1119454045,7
54,Cryptonomicon,Neal Stephenson,Avon,1999    ,Information Technology,978-0380788620,20
55,Artificial Intelligence and Soft Computing,Leszek Rutkowski,Springer,2012    ,Information Technology,978-3642385766,1
56,2061,Arthur C. Clarke,Del Rey,1987    ,Information Technology,978-0345351739,17
57,C++ how to program,Paul J. Deitel,Pearson,1996    ,Information Technology,978-0134448237,5
58,Unlimited power,Tony Robbins,Free Press,1986    ,Information Technology,978-0684845777,1
